date,region,country,variant,count,total,freqMi,freqLo,freqUp
2021-12-01,South America,South America,2a.1a,0,299,0.0000,0.0000,0.0058
2021-12-15,South America,South America,2a.1a,0,183,0.0000,0.0000,0.0095
2021-12-29,South America,South America,2a.1a,0,260,0.0000,0.0000,0.0067
2022-01-12,South America,South America,2a.1a,0,79,0.0000,0.0000,0.0223
2022-01-26,South America,South America,2a.1a,0,24,0.0000,0.0000,0.0765
2022-02-09,South America,South America,2a.1a,0,20,0.0000,0.0000,0.0929
2022-02-23,South America,South America,2a.1a,0,21,0.0000,0.0000,0.0882
2022-03-09,South America,South America,2a.1a,0,43,0.0000,0.0000,0.0417
2022-03-23,South America,South America,2a.1a,0,38,0.0000,0.0000,0.0473
2022-04-06,South America,South America,2a.1a,0,36,0.0000,0.0000,0.0501
2022-04-20,South America,South America,2a.1a,0,45,0.0000,0.0000,0.0398
2022-05-04,South America,South America,2a.1a,0,109,0.0000,0.0000,0.0161
2022-05-18,South America,South America,2a.1a,0,48,0.0000,0.0000,0.0372
2022-06-01,South America,South America,2a.1a,0,69,0.0000,0.0000,0.0256
2022-06-15,South America,South America,2a.1a,0,43,0.0000,0.0000,0.0417
2022-06-29,South America,South America,2a.1a,0,92,0.0000,0.0000,0.0191
2022-07-13,South America,South America,2a.1a,0,46,0.0000,0.0000,0.0389
2022-07-27,South America,South America,2a.1a,0,12,0.0000,0.0000,0.1612
2022-08-10,South America,South America,2a.1a,0,12,0.0000,0.0000,0.1612
2022-08-24,South America,South America,2a.1a,0,18,0.0000,0.0000,0.1039
2022-09-07,South America,South America,2a.1a,0,40,0.0000,0.0000,0.0449
2022-09-21,South America,South America,2a.1a,0,53,0.0000,0.0000,0.0336
2022-10-05,South America,South America,2a.1a,0,35,0.0000,0.0000,0.0516
2022-10-19,South America,South America,2a.1a,0,36,0.0000,0.0000,0.0501
2022-11-02,South America,South America,2a.1a,0,25,0.0000,0.0000,0.0733
2022-11-16,South America,South America,2a.1a,0,13,0.0000,0.0000,0.1477
2022-11-30,South America,South America,2a.1a,0,14,0.0000,0.0000,0.1363
2022-12-14,South America,South America,2a.1a,0,3,0.0000,0.0000,0.7746
2022-12-28,South America,South America,2a.1a,0,0,0.0000,0.0000,1.0000
2023-01-11,South America,South America,2a.1a,0,0,0.0000,0.0000,1.0000
2023-01-25,South America,South America,2a.1a,0,0,0.0000,0.0000,1.0000
2021-12-01,South America,Argentina,2a.1a,0,2,0.0000,0.0000,0.4177
2021-12-15,South America,Argentina,2a.1a,0,1,0.0000,0.0000,0.4331
2021-12-29,South America,Argentina,2a.1a,0,6,0.0000,0.0000,0.2763
2022-01-12,South America,Argentina,2a.1a,0,5,0.0000,0.0000,0.3119
2022-01-26,South America,Argentina,2a.1a,0,8,0.0000,0.0000,0.2332
2022-02-09,South America,Argentina,2a.1a,0,7,0.0000,0.0000,0.2629
2022-02-23,South America,Argentina,2a.1a,0,9,0.0000,0.0000,0.2174
2022-03-09,South America,Argentina,2a.1a,0,24,0.0000,0.0000,0.0862
2022-03-23,South America,Argentina,2a.1a,0,26,0.0000,0.0000,0.0841
2022-04-06,South America,Argentina,2a.1a,0,9,0.0000,0.0000,0.2049
2022-04-20,South America,Argentina,2a.1a,0,9,0.0000,0.0000,0.2026
2022-05-04,South America,Argentina,2a.1a,0,20,0.0000,0.0000,0.0923
2022-05-18,South America,Argentina,2a.1a,0,6,0.0000,0.0000,0.2787
2022-06-01,South America,Argentina,2a.1a,0,13,0.0000,0.0000,0.1426
2022-06-15,South America,Argentina,2a.1a,0,6,0.0000,0.0000,0.2793
2022-06-29,South America,Argentina,2a.1a,0,5,0.0000,0.0000,0.3117
2022-07-13,South America,Argentina,2a.1a,0,2,0.0000,0.0000,0.4194
2022-07-27,South America,Argentina,2a.1a,0,1,0.0000,0.0000,0.4621
2022-08-10,South America,Argentina,2a.1a,0,1,0.0000,0.0000,0.4621
2022-08-24,South America,Argentina,2a.1a,0,3,0.0000,0.0000,0.4010
2022-09-07,South America,Argentina,2a.1a,0,0,0.0000,0.0000,0.4353
2022-09-21,South America,Argentina,2a.1a,0,4,0.0000,0.0000,0.3510
2022-10-05,South America,Argentina,2a.1a,0,1,0.0000,0.0000,0.4361
2022-10-19,South America,Argentina,2a.1a,0,2,0.0000,0.0000,0.4206
2022-11-02,South America,Argentina,2a.1a,0,1,0.0000,0.0000,0.4392
2022-11-16,South America,Argentina,2a.1a,0,0,0.0000,0.0000,0.4575
2022-11-30,South America,Argentina,2a.1a,0,0,0.0000,0.0000,0.4539
2022-12-14,South America,Argentina,2a.1a,0,0,0.0000,0.0000,0.8874
2022-12-28,South America,Argentina,2a.1a,0,0,0.0000,0.0000,1.0000
2023-01-11,South America,Argentina,2a.1a,0,0,0.0000,0.0000,1.0000
