date,region,country,variant,count,total,freqMi,freqLo,freqUp
2022-01-01,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.2317
2022-01-15,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.2206
2022-01-29,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.2101
2022-02-12,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1999
2022-02-26,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1899
2022-03-12,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1800
2022-03-26,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1701
2022-04-09,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1600
2022-04-23,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1506
2022-05-07,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1517
2022-05-21,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1520
2022-06-04,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1512
2022-06-18,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1496
2022-07-02,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1481
2022-07-16,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1460
2022-07-30,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1427
2022-08-13,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1380
2022-08-27,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1317
2022-09-10,Western Asia,other,C.1.6,0,2,0.0000,0.0000,0.1253
2022-09-24,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1187
2022-10-08,Western Asia,other,C.1.6,0,0,0.0000,0.0000,0.1145
2022-10-22,Western Asia,other,C.1.6,0,2,0.0000,0.0000,0.1182
2022-11-05,Western Asia,other,C.1.6,0,7,0.0000,0.0000,0.1206
2022-11-19,Western Asia,other,C.1.6,0,5,0.0000,0.0000,0.1193
2022-12-03,Western Asia,other,C.1.6,0,12,0.0000,0.0000,0.1161
2022-12-17,Western Asia,other,C.1.6,0,4,0.0000,0.0000,0.1162
2022-12-31,Western Asia,other,C.1.6,0,5,0.0000,0.0000,0.1204
2023-01-14,Western Asia,other,C.1.6,0,2,0.0000,0.0000,0.1290
2023-01-28,Western Asia,other,C.1.6,0,1,0.0000,0.0000,0.1354
2023-02-11,Western Asia,other,C.1.6,0,1,0.0000,0.0000,0.1402
2023-02-25,Western Asia,other,C.1.6,0,1,0.0000,0.0000,0.1434
