date,region,country,variant,count,total,freqMi,freqLo,freqUp
2022-01-01,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1699
2022-01-15,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1576
2022-01-29,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1474
2022-02-12,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1363
2022-02-26,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1300
2022-03-12,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1257
2022-03-26,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1303
2022-04-09,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1335
2022-04-23,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1347
2022-05-07,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1352
2022-05-21,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1345
2022-06-04,South-eastern Asia,other,A,0,2,0.0000,0.0000,0.1318
2022-06-18,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1272
2022-07-02,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1214
2022-07-16,South-eastern Asia,other,A,0,5,0.0000,0.0000,0.1182
2022-07-30,South-eastern Asia,other,A,0,2,0.0000,0.0000,0.1163
2022-08-13,South-eastern Asia,other,A,0,2,0.0000,0.0000,0.1150
2022-08-27,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1124
2022-09-10,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1118
2022-09-24,South-eastern Asia,other,A,0,3,0.0000,0.0000,0.1116
2022-10-08,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1136
2022-10-22,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1160
2022-11-05,South-eastern Asia,other,A,0,2,0.0000,0.0000,0.1160
2022-11-19,South-eastern Asia,other,A,0,2,0.0000,0.0000,0.1204
2022-12-03,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1235
2022-12-17,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1253
2022-12-31,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1237
2023-01-14,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1208
2023-01-28,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1187
2023-02-11,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1173
2023-02-25,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1200
2023-03-11,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1230
2023-03-25,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1266
2023-04-08,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1272
2023-04-22,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1257
2023-05-06,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1337
2023-05-20,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1405
2023-06-03,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1463
2023-06-17,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1535
2023-07-01,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1625
2023-07-15,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1712
2023-07-29,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1817
2023-08-12,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.1929
2023-08-26,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.2043
2023-09-09,South-eastern Asia,other,A,0,0,0.0000,0.0000,0.2162
2022-01-01,South-eastern Asia,MYS,A,0,10,0.0000,0.0000,0.1413
2022-01-15,South-eastern Asia,MYS,A,0,5,0.0000,0.0000,0.1324
2022-01-29,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1262
2022-02-12,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1184
2022-02-26,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1153
2022-03-12,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1138
2022-03-26,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1213
2022-04-09,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1267
2022-04-23,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1294
2022-05-07,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1310
2022-05-21,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1311
2022-06-04,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1290
2022-06-18,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1249
2022-07-02,South-eastern Asia,MYS,A,0,1,0.0000,0.0000,0.1194
2022-07-16,South-eastern Asia,MYS,A,0,0,0.0000,0.0000,0.1166
2022-07-30,South-eastern Asia,MYS,A,0,1,0.0000,0.0000,0.1149
