date,region,country,variant,count,total,freqMi,freqLo,freqUp
2022-01-01,North America,other,A.3.2,0,0,0.4019,0.1422,0.6617
2022-01-15,North America,other,A.3.2,0,0,0.4010,0.1506,0.6513
2022-01-29,North America,other,A.3.2,0,0,0.3990,0.1571,0.6409
2022-02-12,North America,other,A.3.2,0,0,0.3975,0.1631,0.6318
2022-02-26,North America,other,A.3.2,0,0,0.3959,0.1688,0.6230
2022-03-12,North America,other,A.3.2,0,0,0.3944,0.1744,0.6145
2022-03-26,North America,other,A.3.2,0,0,0.3929,0.1798,0.6060
2022-04-09,North America,other,A.3.2,0,0,0.3914,0.1852,0.5975
2022-04-23,North America,other,A.3.2,0,0,0.3916,0.1917,0.5915
2022-05-07,North America,other,A.3.2,0,0,0.3978,0.2020,0.5936
2022-05-21,North America,other,A.3.2,0,0,0.4038,0.2123,0.5953
2022-06-04,North America,other,A.3.2,0,0,0.4099,0.2229,0.5968
2022-06-18,North America,other,A.3.2,0,0,0.4159,0.2338,0.5980
2022-07-02,North America,other,A.3.2,0,0,0.4220,0.2451,0.5988
2022-07-16,North America,other,A.3.2,0,0,0.4280,0.2569,0.5992
2022-07-30,North America,other,A.3.2,0,0,0.4341,0.2691,0.5991
2022-08-13,North America,other,A.3.2,0,0,0.4401,0.2818,0.5984
2022-08-27,North America,other,A.3.2,0,0,0.4467,0.2956,0.5978
2022-09-10,North America,other,A.3.2,0,0,0.4532,0.3101,0.5964
2022-09-24,North America,other,A.3.2,1,1,0.4599,0.3256,0.5942
2022-10-08,North America,other,A.3.2,0,0,0.3995,0.2646,0.5343
2022-10-22,North America,other,A.3.2,0,0,0.3473,0.2121,0.4824
2022-11-05,North America,other,A.3.2,0,1,0.3084,0.1725,0.4444
2022-11-19,North America,other,A.3.2,0,0,0.2684,0.1329,0.4038
2022-12-03,North America,other,A.3.2,0,0,0.2277,0.0946,0.3607
2022-12-17,North America,other,A.3.2,0,0,0.1862,0.0568,0.3155
2022-12-31,North America,other,A.3.2,0,1,0.1440,0.0199,0.2682
2023-01-14,North America,other,A.3.2,0,2,0.1000,0.0000,0.2213
2023-01-28,North America,other,A.3.2,0,5,0.0657,0.0000,0.1831
2023-02-11,North America,other,A.3.2,0,1,0.0485,0.0000,0.1638
2023-02-25,North America,other,A.3.2,0,3,0.0322,0.0000,0.1484
2023-03-11,North America,other,A.3.2,0,3,0.0187,0.0000,0.1330
2023-03-25,North America,other,A.3.2,0,6,0.0222,0.0000,0.1369
2023-04-08,North America,other,A.3.2,0,3,0.0301,0.0000,0.1473
2023-04-22,North America,other,A.3.2,1,8,0.0203,0.0000,0.1378
2023-05-06,North America,other,A.3.2,0,2,0.0053,0.0000,0.1244
2023-05-20,North America,other,A.3.2,0,5,0.0026,0.0000,0.1244
2023-06-03,North America,other,A.3.2,0,4,0.0016,0.0000,0.1264
2023-06-17,North America,other,A.3.2,0,3,0.0012,0.0000,0.1315
2023-07-01,North America,other,A.3.2,0,0,0.0011,0.0000,0.1379
2023-07-15,North America,other,A.3.2,0,1,0.0011,0.0000,0.1512
2023-07-29,North America,other,A.3.2,0,0,0.0010,0.0000,0.1649
2023-08-12,North America,other,A.3.2,0,0,0.0010,0.0000,0.1795
2022-01-01,North America,SLV,A.3.2,0,0,0.4030,0.1433,0.6627
2022-01-15,North America,SLV,A.3.2,0,0,0.4020,0.1517,0.6523
2022-01-29,North America,SLV,A.3.2,0,0,0.4001,0.1582,0.6420
2022-02-12,North America,SLV,A.3.2,0,0,0.3986,0.1643,0.6330
2022-02-26,North America,SLV,A.3.2,0,0,0.3971,0.1700,0.6242
2022-03-12,North America,SLV,A.3.2,0,0,0.3957,0.1756,0.6157
2022-03-26,North America,SLV,A.3.2,0,0,0.3943,0.1812,0.6073
2022-04-09,North America,SLV,A.3.2,0,0,0.3928,0.1867,0.5990
2022-04-23,North America,SLV,A.3.2,0,0,0.3932,0.1933,0.5931
2022-05-07,North America,SLV,A.3.2,0,0,0.3996,0.2038,0.5953
2022-05-21,North America,SLV,A.3.2,0,0,0.4058,0.2143,0.5973
2022-06-04,North America,SLV,A.3.2,0,0,0.4121,0.2251,0.5990
2022-06-18,North America,SLV,A.3.2,0,0,0.4184,0.2363,0.6004
2022-07-02,North America,SLV,A.3.2,0,0,0.4247,0.2479,0.6015
2022-07-16,North America,SLV,A.3.2,0,0,0.4310,0.2600,0.6021
2022-07-30,North America,SLV,A.3.2,0,0,0.4374,0.2726,0.6023
2022-08-13,North America,SLV,A.3.2,0,0,0.4439,0.2858,0.6020
2022-08-27,North America,SLV,A.3.2,0,0,0.4509,0.3000,0.6018
2022-09-10,North America,SLV,A.3.2,0,0,0.4580,0.3151,0.6009
2022-09-24,North America,SLV,A.3.2,0,0,0.4652,0.3312,0.5992
2022-10-08,North America,SLV,A.3.2,0,0,0.4054,0.2711,0.5398
2022-10-22,North America,SLV,A.3.2,0,0,0.3540,0.2194,0.4885
2022-11-05,North America,SLV,A.3.2,0,0,0.3160,0.1808,0.4512
2022-11-19,North America,SLV,A.3.2,0,0,0.2768,0.1424,0.4113
2022-12-03,North America,SLV,A.3.2,0,0,0.2372,0.1053,0.3691
2022-12-17,North America,SLV,A.3.2,0,0,0.1969,0.0691,0.3247
2022-12-31,North America,SLV,A.3.2,0,1,0.1561,0.0341,0.2781
2023-01-14,North America,SLV,A.3.2,0,1,0.1137,0.0000,0.2322
2023-01-28,North America,SLV,A.3.2,0,2,0.0811,0.0000,0.1949
2023-02-11,North America,SLV,A.3.2,2,3,0.0659,0.0000,0.1769
2023-02-25,North America,SLV,A.3.2,0,1,0.0497,0.0000,0.1610
2023-03-11,North America,SLV,A.3.2,0,5,0.0366,0.0000,0.1449
2023-03-25,North America,SLV,A.3.2,2,4,0.0412,0.0000,0.1502
2023-04-08,North America,SLV,A.3.2,0,1,0.0472,0.0000,0.1594
2023-04-22,North America,SLV,A.3.2,0,3,0.0357,0.0000,0.1487
2023-05-06,North America,SLV,A.3.2,0,1,0.0194,0.0000,0.1349
2023-05-20,North America,SLV,A.3.2,0,0,0.0156,0.0000,0.1344
2023-06-03,North America,SLV,A.3.2,0,0,0.0137,0.0000,0.1359
2023-06-17,North America,SLV,A.3.2,0,0,0.0126,0.0000,0.1408
2023-07-01,North America,SLV,A.3.2,0,0,0.0119,0.0000,0.1469
2023-07-15,North America,SLV,A.3.2,0,0,0.0114,0.0000,0.1600
2023-07-29,North America,SLV,A.3.2,0,0,0.0112,0.0000,0.1736
2023-08-12,North America,SLV,A.3.2,0,0,0.0110,0.0000,0.1883
2022-01-01,North America,GTM,A.3.2,2,2,0.4190,0.1603,0.6778
2022-01-15,North America,GTM,A.3.2,2,2,0.4174,0.1680,0.6668
2022-01-29,North America,GTM,A.3.2,1,1,0.4142,0.1730,0.6553
2022-02-12,North America,GTM,A.3.2,0,0,0.4114,0.1777,0.6452
2022-02-26,North America,GTM,A.3.2,0,0,0.4089,0.1823,0.6355
2022-03-12,North America,GTM,A.3.2,0,0,0.4066,0.1870,0.6262
2022-03-26,North America,GTM,A.3.2,0,0,0.4044,0.1917,0.6171
2022-04-09,North America,GTM,A.3.2,0,0,0.4024,0.1966,0.6082
2022-04-23,North America,GTM,A.3.2,0,0,0.4023,0.2027,0.6019
2022-05-07,North America,GTM,A.3.2,1,1,0.4083,0.2128,0.6038
2022-05-21,North America,GTM,A.3.2,0,0,0.4142,0.2229,0.6054
2022-06-04,North America,GTM,A.3.2,0,0,0.4202,0.2335,0.6069
2022-06-18,North America,GTM,A.3.2,0,0,0.4264,0.2445,0.6082
2022-07-02,North America,GTM,A.3.2,0,0,0.4327,0.2561,0.6093
2022-07-16,North America,GTM,A.3.2,0,0,0.4392,0.2683,0.6100
