date,region,country,variant,count,total,freqMi,freqLo,freqUp
2022-01-01,China,other,B.3,0,0,0.0000,0.0000,0.1500
2022-01-15,China,other,B.3,0,0,0.0001,0.0000,0.1446
2022-01-29,China,other,B.3,0,0,0.0001,0.0000,0.1376
2022-02-12,China,other,B.3,0,0,0.0002,0.0000,0.1346
2022-02-26,China,other,B.3,0,0,0.0004,0.0000,0.1292
2022-03-12,China,other,B.3,0,0,0.0006,0.0000,0.1286
2022-03-26,China,other,B.3,0,0,0.0009,0.0000,0.1297
2022-04-09,China,other,B.3,0,0,0.0013,0.0000,0.1318
2022-04-23,China,other,B.3,0,0,0.0018,0.0000,0.1359
2022-05-07,China,other,B.3,0,0,0.0024,0.0000,0.1395
2022-05-21,China,other,B.3,0,0,0.0030,0.0000,0.1435
2022-06-04,China,other,B.3,0,0,0.0037,0.0000,0.1488
2022-06-18,China,other,B.3,0,0,0.0045,0.0000,0.1534
2022-07-02,China,other,B.3,0,0,0.0052,0.0000,0.1571
2022-07-16,China,other,B.3,0,0,0.0062,0.0000,0.1626
2022-07-30,China,other,B.3,0,0,0.0071,0.0000,0.1675
2022-08-13,China,other,B.3,0,0,0.0081,0.0000,0.1733
2022-08-27,China,other,B.3,0,0,0.0092,0.0000,0.1786
2022-09-10,China,other,B.3,0,0,0.0103,0.0000,0.1835
2022-09-24,China,other,B.3,0,0,0.0113,0.0000,0.1881
2022-10-08,China,other,B.3,0,0,0.0124,0.0000,0.1922
2022-10-22,China,other,B.3,0,0,0.0135,0.0000,0.1959
2022-11-05,China,other,B.3,0,0,0.0146,0.0000,0.1991
2022-11-19,China,other,B.3,0,0,0.0157,0.0000,0.2018
2022-12-03,China,other,B.3,0,0,0.0169,0.0000,0.2055
2022-12-17,China,other,B.3,0,0,0.0182,0.0000,0.2088
2022-12-31,China,other,B.3,0,0,0.0194,0.0000,0.2117
2023-01-14,China,other,B.3,0,0,0.0207,0.0000,0.2142
2023-01-28,China,other,B.3,0,0,0.0219,0.0000,0.2164
2023-02-11,China,other,B.3,0,0,0.0232,0.0000,0.2183
2023-02-25,China,other,B.3,0,0,0.0245,0.0000,0.2202
2023-03-11,China,other,B.3,0,0,0.0265,0.0000,0.2260
2023-03-25,China,other,B.3,0,0,0.0285,0.0000,0.2319
2023-04-08,China,other,B.3,0,0,0.0306,0.0000,0.2379
2023-04-22,China,other,B.3,0,0,0.0303,0.0000,0.2434
2023-05-06,China,other,B.3,0,0,0.0303,0.0000,0.2508
2023-05-20,China,other,B.3,0,0,0.0303,0.0000,0.2582
2023-06-03,China,other,B.3,0,0,0.0303,0.0000,0.2658
2023-06-17,China,other,B.3,0,0,0.0303,0.0000,0.2734
2023-07-01,China,other,B.3,0,0,0.0303,0.0000,0.2813
