iso3	population	country
ABW	106766	Aruba
AFG	40218234	Afghanistan
AGO	32866268	Angola
AIA	13452	Anguilla
ALA	29458	Åland Islands
ALB	2837743	Albania
AND	77265	Andorra
ARE	9890400	United Arab Emirates
ARG	45376763	Argentina
ARM	2963234	Armenia
ASM	55197	American Samoa
ATA	1000	Antarctica
ATF	400	French Southern and Antarctic Lands
ATG	97928	Antigua and Barbuda
AUS	25687041	Australia
AUT	8917205	Austria
AZE	10110116	Azerbaijan
BDI	11890781	Burundi
BEL	11555997	Belgium
BEN	12123198	Benin
BES	25987	Caribbean Netherlands
BFA	20903278	Burkina Faso
BGD	164689383	Bangladesh
BGR	6927288	Bulgaria
BHR	1701583	Bahrain
BHS	393248	Bahamas
BIH	3280815	Bosnia and Herzegovina
BLM	4255	Saint Barthélemy
BLR	9398861	Belarus
BLZ	397621	Belize
BMU	63903	Bermuda
BOL	11673029	Bolivia
BRA	212559409	Brazil
BRB	287371	Barbados
BRN	437483	Brunei
BTN	771612	Bhutan
BVT	0	Bouvet Island
BWA	2351625	Botswana
CAF	4829764	Central African Republic
CAN	38005238	Canada
CCK	544	Cocos (Keeling) Islands
CHE	8654622	Switzerland
CHL	19116209	Chile
CHN	1402112000	China
CIV	26378275	Ivory Coast
CMR	26545864	Cameroon
COD	108407721	DR Congo
COG	5657000	Republic of the Congo
COK	18100	Cook Islands
COL	50882884	Colombia
COM	869595	Comoros
CPV	555988	Cape Verde
CRI	5094114	Costa Rica
CUB	11326616	Cuba
CUW	155014	Curaçao
CXR	2072	Christmas Island
CYM	65720	Cayman Islands
CYP	1207361	Cyprus
CZE	10698896	Czechia
DEU	83240525	Germany
DJI	988002	Djibouti
DMA	71991	Dominica
DNK	5831404	Denmark
DOM	10847904	Dominican Republic
DZA	44700000	Algeria
ECU	17643060	Ecuador
EGY	102334403	Egypt
ERI	5352000	Eritrea
ESH	510713	Western Sahara
ESP	47351567	Spain
EST	1331057	Estonia
ETH	114963583	Ethiopia
FIN	5530719	Finland
FJI	896444	Fiji
FLK	2563	Falkland Islands
FRA	67391582	France
FRO	48865	Faroe Islands
FSM	115021	Micronesia
GAB	2225728	Gabon
GBR	67215293	United Kingdom
GEO	3714000	Georgia
GGY	62999	Guernsey
GHA	31072945	Ghana
GIB	33691	Gibraltar
GIN	13132792	Guinea
GLP	400132	Guadeloupe
GMB	2416664	Gambia
GNB	1967998	Guinea-Bissau
GNQ	1402985	Equatorial Guinea
GRC	10715549	Greece
GRD	112519	Grenada
GRL	56367	Greenland
GTM	16858333	Guatemala
GUF	254541	French Guiana
GUM	168783	Guam
GUY	786559	Guyana
HKG	7500700	Hong Kong
HMD	0	Heard Island and McDonald Islands
HND	9904608	Honduras
HRV	4047200	Croatia
HTI	11402533	Haiti
HUN	9749763	Hungary
IDN	273523621	Indonesia
IMN	85032	Isle of Man
IND	1380004385	India
IOT	3000	British Indian Ocean Territory
IRL	4994724	Ireland
IRN	83992953	Iran
IRQ	40222503	Iraq
ISL	366425	Iceland
ISR	9216900	Israel
ITA	59554023	Italy
JAM	2961161	Jamaica
JEY	100800	Jersey
JOR	10203140	Jordan
JPN	125836021	Japan
KAZ	18754440	Kazakhstan
KEN	53771300	Kenya
KGZ	6591600	Kyrgyzstan
KHM	16718971	Cambodia
KIR	119446	Kiribati
KNA	53192	Saint Kitts and Nevis
KOR	51780579	South Korea
KWT	4270563	Kuwait
LAO	7275556	Laos
LBN	6825442	Lebanon
LBR	5057677	Liberia
