country,population
New Caledonia,0.29
Costa Rica,5.11
North America,579
Portugal,10.15
Greece,10.36
El Salvador,6.52
South Korea,51.71
Ukraine,43.62
United Kingdom,68.13
Ghana,31.73
Bahrain,1.72
Albania,2.87
Chile,19.29
Serbia,6.92
Canada,38.08
India,1376
Luxembourg,0.63
West Asia,280
Norway,5.40
Brunei,0.44
South Asia,1960
Lithuania,2.69
Africa,1340
USA,332.6
Argentina,45.38
Singapore,5.87
Bhutan,0.77
Qatar,2.88
Netherlands,17.41
Brazil,213.58
Finland,5.54
Lebanon,6.83
Mexico,130.22
Poland,37.97
Japan,125.41
East Timor,1.32
China(PRC),1444
Belgium,11.64
Romania,19.13
Japan Korea,0
Cote D Ivoire,27.05
Europe,747
Puerto Rico,2.80
Togo,8.61
South Africa,59.62
Israel,9.29
Kosovo,1.80
Bolivia,11.89
Macedonia,2.08
Southeast Asia,668
Austria,9.05
Honduras,10.49
Russia,144.1
Guatemala,18.25
United Arab Emirates,9.99
Croatia,4.06
South America,430
Czech Republic,10.71
Thailand,69.80
Tunisia,11.82
Laos,7.28
Spain,46.77
New Zealand,5.11
Slovakia,5.46
Denmark,5.83
Oman,5.12
Trinidad And Tobago,1.40
Peru,33.47
Sweden,10.38
China,1444
Switzerland,8.68
Slovenia,2.08
Ecuador,17.64
Fiji,0.93
Oceania,42
Estonia,1.32
Senegal,17.20
Niger,24.21
Germany,83.02
Bulgaria,6.94
French Guiana,0.29
Colombia,51.49
Italy,60.43
Philippines,111.79
Madagascar,28.42
Uruguay,3.53
Bangladesh,166.37
Ireland,5.01
Iceland,0.37
Montenegro,0.63
Australia,25.89
France,67.39
