iso3	continent	name_short	un_region
AFG	Asia	Afghanistan	Southern Asia
ALA	Europe	Aland Islands	Northern Europe
ALB	Europe	Albania	Southern Europe
DZA	Africa	Algeria	Northern Africa
ASM	Oceania	American Samoa	Polynesia
AND	Europe	Andorra	Southern Europe
AGO	Africa	Angola	Middle Africa
AIA	America	Anguilla	Caribbean
ATA	Antarctica	Antarctica	Antarctica
ATG	America	Antigua and Barbuda	Caribbean
ARG	America	Argentina	South America
ARM	Asia	Armenia	Western Asia
ABW	America	Aruba	Caribbean
AUS	Oceania	Australia	Australia and New Zealand
AUT	Europe	Austria	Western Europe
AZE	Asia	Azerbaijan	Western Asia
BHS	America	Bahamas	Caribbean
BHR	Asia	Bahrain	Western Asia
BGD	Asia	Bangladesh	Southern Asia
BRB	America	Barbados	Caribbean
BLR	Europe	Belarus	Eastern Europe
BEL	Europe	Belgium	Western Europe
BLZ	America	Belize	Central America
BEN	Africa	Benin	Western Africa
BMU	America	Bermuda	Northern America
BTN	Asia	Bhutan	Southern Asia
BOL	America	Bolivia	South America
BES	America	Bonaire, Saint Eustatius and Saba	Caribbean
BIH	Europe	Bosnia and Herzegovina	Southern Europe
BWA	Africa	Botswana	Southern Africa
BVT	Antarctica	Bouvet Island	South America
BRA	America	Brazil	South America
IOT	Africa	British Indian Ocean Territory	Eastern Africa
VGB	America	British Virgin Islands	Caribbean
BRN	Asia	Brunei Darussalam	South-eastern Asia
BGR	Europe	Bulgaria	Eastern Europe
BFA	Africa	Burkina Faso	Western Africa
BDI	Africa	Burundi	Eastern Africa
CPV	Africa	Cabo Verde	Western Africa
KHM	Asia	Cambodia	South-eastern Asia
CMR	Africa	Cameroon	Middle Africa
CAN	America	Canada	Northern America
CYM	America	Cayman Islands	Caribbean
CAF	Africa	Central African Republic	Middle Africa
TCD	Africa	Chad	Middle Africa
CHL	America	Chile	South America
CHN	Asia	China	Eastern Asia
CXR	Asia	Christmas Island	Australia and New Zealand
CCK	Asia	Cocos (Keeling) Islands	Australia and New Zealand
COL	America	Colombia	South America
COM	Africa	Comoros	Eastern Africa
COG	Africa	Congo Republic	Middle Africa
COK	Oceania	Cook Islands	Polynesia
CRI	America	Costa Rica	Central America
CIV	Africa	Cote d'Ivoire	Western Africa
HRV	Europe	Croatia	Southern Europe
CUB	America	Cuba	Caribbean
CUW	America	Curacao	Caribbean
CYP	Asia	Cyprus	Western Asia
CZE	Europe	Czech Republic	Eastern Europe
DNK	Europe	Denmark	Northern Europe
DJI	Africa	Djibouti	Eastern Africa
DMA	America	Dominica	Caribbean
DOM	America	Dominican Republic	Caribbean
COD	Africa	DR Congo	Middle Africa
ECU	America	Ecuador	South America
EGY	Africa	Egypt	Northern Africa
SLV	America	El Salvador	Central America
GNQ	Africa	Equatorial Guinea	Middle Africa
ERI	Africa	Eritrea	Eastern Africa
EST	Europe	Estonia	Northern Europe
SWZ	Africa	Eswatini	Southern Africa
ETH	Africa	Ethiopia	Eastern Africa
FRO	Europe	Faeroe Islands	Northern Europe
FLK	America	Falkland Islands	South America
FJI	Oceania	Fiji	Melanesia
FIN	Europe	Finland	Northern Europe
FRA	Europe	France	Western Europe
GUF	America	French Guiana	South America
PYF	Oceania	French Polynesia	Polynesia
ATF	Africa	French Southern Territories	Eastern Africa
GAB	Africa	Gabon	Middle Africa
GMB	Africa	Gambia	Western Africa
GEO	Asia	Georgia	Western Asia
DEU	Europe	Germany	Western Europe
GHA	Africa	Ghana	Western Africa
GIB	Europe	Gibraltar	Southern Europe
GRC	Europe	Greece	Southern Europe
GRL	America	Greenland	Northern America
GRD	America	Grenada	Caribbean
GLP	America	Guadeloupe	Caribbean
GUM	Oceania	Guam	Micronesia
GTM	America	Guatemala	Central America
GGY	Europe	Guernsey	Northern Europe
GIN	Africa	Guinea	Western Africa
GNB	Africa	Guinea-Bissau	Western Africa
GUY	America	Guyana	South America
HTI	America	Haiti	Caribbean
HMD	Asia	Heard and McDonald Islands	Australia and New Zealand
HND	America	Honduras	Central America
HKG	Asia	Hong Kong	Eastern Asia
HUN	Europe	Hungary	Eastern Europe
ISL	Europe	Iceland	Northern Europe
IND	Asia	India	Southern Asia
IDN	Asia	Indonesia	South-eastern Asia
IRN	Asia	Iran	Southern Asia
IRQ	Asia	Iraq	Western Asia
IRL	Europe	Ireland	Northern Europe
IMN	Europe	Isle of Man	Northern Europe
ISR	Asia	Israel	Western Asia
ITA	Europe	Italy	Southern Europe
JAM	America	Jamaica	Caribbean
JPN	Asia	Japan	Eastern Asia
JEY	Europe	Jersey	Northern Europe
JOR	Asia	Jordan	Western Asia
KAZ	Asia	Kazakhstan	Central Asia
KEN	Africa	Kenya	Eastern Africa
KIR	Oceania	Kiribati	Micronesia
XKX	Europe	Kosovo	Southern Europe
KWT	Asia	Kuwait	Western Asia
KGZ	Asia	Kyrgyz Republic	Central Asia
LAO	Asia	Laos	South-eastern Asia
LVA	Europe	Latvia	Northern Europe
LBN	Asia	Lebanon	Western Asia
LSO	Africa	Lesotho	Southern Africa
LBR	Africa	Liberia	Western Africa
LBY	Africa	Libya	Northern Africa
LIE	Europe	Liechtenstein	Western Europe
LTU	Europe	Lithuania	Northern Europe
LUX	Europe	Luxembourg	Western Europe
MAC	Asia	Macau	Eastern Asia
MKD	Europe	North Macedonia	Southern Europe
MDG	Africa	Madagascar	Eastern Africa
MWI	Africa	Malawi	Eastern Africa
MYS	Asia	Malaysia	South-eastern Asia
MDV	Asia	Maldives	Southern Asia
MLI	Africa	Mali	Western Africa
MLT	Europe	Malta	Southern Europe
MHL	Oceania	Marshall Islands	Micronesia
MTQ	America	Martinique	Caribbean
MRT	Africa	Mauritania	Western Africa
MUS	Africa	Mauritius	Eastern Africa
MYT	Africa	Mayotte	Eastern Africa
MEX	America	Mexico	Central America
FSM	Oceania	Micronesia, Fed. Sts.	Micronesia
MDA	Europe	Moldova	Eastern Europe
MCO	Europe	Monaco	Western Europe
MNG	Asia	Mongolia	Eastern Asia
MNE	Europe	Montenegro	Southern Europe
MSR	America	Montserrat	Caribbean
MAR	Africa	Morocco	Northern Africa
MOZ	Africa	Mozambique	Eastern Africa
MMR	Asia	Myanmar	South-eastern Asia
NAM	Africa	Namibia	Southern Africa
NRU	Oceania	Nauru	Polynesia
NPL	Asia	Nepal	Southern Asia
NLD	Europe	Netherlands	Western Europe
NCL	Oceania	New Caledonia	Melanesia
NZL	Oceania	New Zealand	Australia and New Zealand
NIC	America	Nicaragua	Central America
NER	Africa	Niger	Western Africa
NGA	Africa	Nigeria	Western Africa
NIU	Oceania	Niue	Polynesia
NFK	Oceania	Norfolk Island	Australia and New Zealand
PRK	Asia	North Korea	Eastern Asia
MNP	Oceania	Northern Mariana Islands	Micronesia
NOR	Europe	Norway	Northern Europe
OMN	Asia	Oman	Western Asia
PAK	Asia	Pakistan	Southern Asia
PLW	Oceania	Palau	Micronesia
