iso3	continent	name_short	un_region
AFG	Southern Asia	Afghanistan	Southern Asia
ALA	Europe	Aland Islands	Northern Europe
ALB	Europe	Albania	Southern Europe
DZA	Africa	Algeria	Northern Africa
ASM	Oceania	American Samoa	Polynesia
AND	Europe	Andorra	Southern Europe
AGO	Africa	Angola	Middle Africa
AIA	North America	Anguilla	Caribbean
ATA	Antarctica	Antarctica	Antarctica
ATG	North America	Antigua and Barbuda	Caribbean
ARG	South America	Argentina	South America
ARM	Western Asia	Armenia	Western Asia
ABW	North America	Aruba	Caribbean
AUS	Oceania	Australia	Australia and New Zealand
AUT	Europe	Austria	Western Europe
AZE	Western Asia	Azerbaijan	Western Asia
BHS	North America	Bahamas	Caribbean
BHR	Western Asia	Bahrain	Western Asia
BGD	Southern Asia	Bangladesh	Southern Asia
BRB	North America	Barbados	Caribbean
BLR	Europe	Belarus	Eastern Europe
BEL	Europe	Belgium	Western Europe
BLZ	North America	Belize	Central America
BEN	Africa	Benin	Western Africa
BMU	North America	Bermuda	Northern America
BTN	Southern Asia	Bhutan	Southern Asia
BOL	South America	Bolivia	South America
BES	North America	Bonaire, Saint Eustatius and Saba	Caribbean
BIH	Europe	Bosnia and Herzegovina	Southern Europe
BWA	Africa	Botswana	Southern Africa
BVT	South America	Bouvet Island	South America
BRA	South America	Brazil	South America
IOT	Africa	British Indian Ocean Territory	Eastern Africa
VGB	North America	British Virgin Islands	Caribbean
BRN	South-eastern Asia	Brunei Darussalam	South-eastern Asia
BGR	Europe	Bulgaria	Eastern Europe
BFA	Africa	Burkina Faso	Western Africa
BDI	Africa	Burundi	Eastern Africa
CPV	Africa	Cabo Verde	Western Africa
KHM	South-eastern Asia	Cambodia	South-eastern Asia
CMR	Africa	Cameroon	Middle Africa
CAN	North America	Canada	Northern America
CYM	North America	Cayman Islands	Caribbean
CAF	Africa	Central African Republic	Middle Africa
TCD	Africa	Chad	Middle Africa
CHL	South America	Chile	South America
CHN	China	China	Eastern Asia
CXR	Australia and New Zealand	Christmas Island	Australia and New Zealand
CCK	Australia and New Zealand	Cocos (Keeling) Islands	Australia and New Zealand
COL	South America	Colombia	South America
COM	Africa	Comoros	Eastern Africa
COG	Africa	Congo Republic	Middle Africa
COK	Oceania	Cook Islands	Polynesia
CRI	North America	Costa Rica	Central America
CIV	Africa	Cote d'Ivoire	Western Africa
HRV	Europe	Croatia	Southern Europe
CUB	North America	Cuba	Caribbean
CUW	North America	Curacao	Caribbean
CYP	Western Asia	Cyprus	Western Asia
CZE	Europe	Czech Republic	Eastern Europe
DNK	Europe	Denmark	Northern Europe
DJI	Africa	Djibouti	Eastern Africa
DMA	North America	Dominica	Caribbean
DOM	North America	Dominican Republic	Caribbean
COD	Africa	DR Congo	Middle Africa
ECU	South America	Ecuador	South America
EGY	Africa	Egypt	Northern Africa
SLV	North America	El Salvador	Central America
GNQ	Africa	Equatorial Guinea	Middle Africa
ERI	Africa	Eritrea	Eastern Africa
EST	Europe	Estonia	Northern Europe
SWZ	Africa	Eswatini	Southern Africa
ETH	Africa	Ethiopia	Eastern Africa
FRO	Europe	Faeroe Islands	Northern Europe
FLK	South America	Falkland Islands	South America
FJI	Oceania	Fiji	Melanesia
FIN	Europe	Finland	Northern Europe
FRA	Europe	France	Western Europe
GUF	South America	French Guiana	South America
PYF	Oceania	French Polynesia	Polynesia
ATF	Africa	French Southern Territories	Eastern Africa
GAB	Africa	Gabon	Middle Africa
GMB	Africa	Gambia	Western Africa
GEO	Western Asia	Georgia	Western Asia
DEU	Europe	Germany	Western Europe
GHA	Africa	Ghana	Western Africa
GIB	Europe	Gibraltar	Southern Europe
GRC	Europe	Greece	Southern Europe
GRL	North America	Greenland	Northern America
GRD	North America	Grenada	Caribbean
GLP	North America	Guadeloupe	Caribbean
GUM	Oceania	Guam	Micronesia
GTM	North America	Guatemala	Central America
GGY	Europe	Guernsey	Northern Europe
GIN	Africa	Guinea	Western Africa
GNB	Africa	Guinea-Bissau	Western Africa
GUY	South America	Guyana	South America
HTI	North America	Haiti	Caribbean
HMD	Australia and New Zealand	Heard and McDonald Islands	Australia and New Zealand
HND	North America	Honduras	Central America
HKG	Eastern Asia	Hong Kong	Eastern Asia
HUN	Europe	Hungary	Eastern Europe
ISL	Europe	Iceland	Northern Europe
IND	Southern Asia	India	Southern Asia
IDN	South-eastern Asia	Indonesia	South-eastern Asia
IRN	Southern Asia	Iran	Southern Asia
IRQ	Western Asia	Iraq	Western Asia
IRL	Europe	Ireland	Northern Europe
IMN	Europe	Isle of Man	Northern Europe
ISR	Western Asia	Israel	Western Asia
ITA	Europe	Italy	Southern Europe
JAM	North America	Jamaica	Caribbean
JPN	Eastern Asia	Japan	Eastern Asia
JEY	Europe	Jersey	Northern Europe
JOR	Western Asia	Jordan	Western Asia
KAZ	Western Asia	Kazakhstan	Central Asia
KEN	Africa	Kenya	Eastern Africa
KIR	Oceania	Kiribati	Micronesia
XKX	Europe	Kosovo	Southern Europe
KWT	Western Asia	Kuwait	Western Asia
KGZ	Western Asia	Kyrgyz Republic	Central Asia
LAO	South-eastern Asia	Laos	South-eastern Asia
LVA	Europe	Latvia	Northern Europe
LBN	Western Asia	Lebanon	Western Asia
LSO	Africa	Lesotho	Southern Africa
LBR	Africa	Liberia	Western Africa
LBY	Africa	Libya	Northern Africa
LIE	Europe	Liechtenstein	Western Europe
LTU	Europe	Lithuania	Northern Europe
LUX	Europe	Luxembourg	Western Europe
MAC	Eastern Asia	Macau	Eastern Asia
MKD	Europe	North Macedonia	Southern Europe
MDG	Africa	Madagascar	Eastern Africa
MWI	Africa	Malawi	Eastern Africa
MYS	South-eastern Asia	Malaysia	South-eastern Asia
MDV	Southern Asia	Maldives	Southern Asia
MLI	Africa	Mali	Western Africa
MLT	Europe	Malta	Southern Europe
MHL	Oceania	Marshall Islands	Micronesia
MTQ	North America	Martinique	Caribbean
MRT	Africa	Mauritania	Western Africa
MUS	Africa	Mauritius	Eastern Africa
MYT	Africa	Mayotte	Eastern Africa
MEX	North America	Mexico	Central America
FSM	Oceania	Micronesia, Fed. Sts.	Micronesia
MDA	Europe	Moldova	Eastern Europe
MCO	Europe	Monaco	Western Europe
MNG	Eastern Asia	Mongolia	Eastern Asia
MNE	Europe	Montenegro	Southern Europe
MSR	North America	Montserrat	Caribbean
MAR	Africa	Morocco	Northern Africa
MOZ	Africa	Mozambique	Eastern Africa
MMR	South-eastern Asia	Myanmar	South-eastern Asia
NAM	Africa	Namibia	Southern Africa
NRU	Oceania	Nauru	Polynesia
NPL	Southern Asia	Nepal	Southern Asia
NLD	Europe	Netherlands	Western Europe
NCL	Oceania	New Caledonia	Melanesia
NZL	Oceania	New Zealand	Australia and New Zealand
NIC	North America	Nicaragua	Central America
NER	Africa	Niger	Western Africa
NGA	Africa	Nigeria	Western Africa
NIU	Oceania	Niue	Polynesia
NFK	Oceania	Norfolk Island	Australia and New Zealand
PRK	Eastern Asia	North Korea	Eastern Asia
MNP	Oceania	Northern Mariana Islands	Micronesia
NOR	Europe	Norway	Northern Europe
OMN	Western Asia	Oman	Western Asia
PAK	Southern Asia	Pakistan	Southern Asia
PLW	Oceania	Palau	Micronesia
PSE	Western Asia	Palestine	Western Asia
PAN	North America	Panama	Central America
PNG	Oceania	Papua New Guinea	Melanesia
PRY	South America	Paraguay	South America
PER	South America	Peru	South America
PHL	South-eastern Asia	Philippines	South-eastern Asia
PCN	Oceania	Pitcairn	Polynesia
POL	Europe	Poland	Eastern Europe
PRT	Europe	Portugal	Southern Europe
PRI	North America	Puerto Rico	Caribbean
QAT	Western Asia	Qatar	Western Asia
REU	Africa	Reunion	Eastern Africa
ROU	Europe	Romania	Eastern Europe
RUS	Europe	Russia	Eastern Europe
RWA	Africa	Rwanda	Eastern Africa
MAF	North America	Saint-Martin	Caribbean
WSM	Oceania	Samoa	Polynesia
SMR	Europe	San Marino	Southern Europe
STP	Africa	Sao Tome and Principe	Middle Africa
SAU	Western Asia	Saudi Arabia	Western Asia
SEN	Africa	Senegal	Western Africa
SRB	Europe	Serbia	Southern Europe
SYC	Africa	Seychelles	Eastern Africa
SLE	Africa	Sierra Leone	Western Africa
SGP	South-eastern Asia	Singapore	South-eastern Asia
SXM	North America	Sint Maarten	Caribbean
SVK	Europe	Slovakia	Eastern Europe
SVN	Europe	Slovenia	Southern Europe
SLB	Oceania	Solomon Islands	Melanesia
SOM	Africa	Somalia	Eastern Africa
ZAF	Africa	South Africa	Southern Africa
SGS	South America	South Georgia and South Sandwich Is.	South America
KOR	Eastern Asia	South Korea	Eastern Asia
SSD	Africa	South Sudan	Eastern Africa
ESP	Europe	Spain	Southern Europe
LKA	Southern Asia	Sri Lanka	Southern Asia
BLM	North America	St. Barths	Caribbean
SHN	Africa	St. Helena	Western Africa
KNA	North America	St. Kitts and Nevis	Caribbean
LCA	North America	St. Lucia	Caribbean
SPM	North America	St. Pierre and Miquelon	Northern America
VCT	North America	St. Vincent and the Grenadines	Caribbean
SDN	Africa	Sudan	Northern Africa
SUR	South America	Suriname	South America
SJM	Europe	Svalbard and Jan Mayen Islands	Northern Europe
SWE	Europe	Sweden	Northern Europe
CHE	Europe	Switzerland	Western Europe
SYR	Western Asia	Syria	Western Asia
TWN	Eastern Asia	Taiwan	Eastern Asia
TJK	Western Asia	Tajikistan	Central Asia
TZA	Africa	Tanzania	Eastern Africa
THA	South-eastern Asia	Thailand	South-eastern Asia
TLS	South-eastern Asia	Timor-Leste	South-eastern Asia
TGO	Africa	Togo	Western Africa
TKL	Oceania	Tokelau	Polynesia
TON	Oceania	Tonga	Polynesia
TTO	North America	Trinidad and Tobago	Caribbean
TUN	Africa	Tunisia	Northern Africa
TUR	Western Asia	Türkiye	Western Asia
TKM	Western Asia	Turkmenistan	Central Asia
TCA	North America	Turks and Caicos Islands	Caribbean
TUV	Oceania	Tuvalu	Polynesia
UGA	Africa	Uganda	Eastern Africa
UKR	Europe	Ukraine	Eastern Europe
ARE	Western Asia	United Arab Emirates	Western Asia
GBR	Europe	United Kingdom	Northern Europe
USA	North America	United States	Northern America
UMI	Oceania	United States Minor Outlying Islands	Micronesia
VIR	North America	United States Virgin Islands	Caribbean
URY	South America	Uruguay	South America
UZB	Western Asia	Uzbekistan	Central Asia
VUT	Oceania	Vanuatu	Melanesia
VAT	Europe	Vatican	Southern Europe
VEN	South America	Venezuela	South America
VNM	South-eastern Asia	Vietnam	South-eastern Asia
WLF	Oceania	Wallis and Futuna Islands	Polynesia
ESH	Africa	Western Sahara	Northern Africa
YEM	Western Asia	Yemen	Western Asia
ZMB	Africa	Zambia	Eastern Africa
ZWE	Africa	Zimbabwe	Eastern Africa
